## ../SPLIT_LIST/MPUSI/scaffold_10.list
scaffold_10 490
scaffold_13 2
## ../SPLIT_LIST/MPUSI/scaffold_11.list
scaffold_11 390
## ../SPLIT_LIST/MPUSI/scaffold_12.list
scaffold_12 443
## ../SPLIT_LIST/MPUSI/scaffold_13.list
scaffold_13 395
## ../SPLIT_LIST/MPUSI/scaffold_14.list
scaffold_14 356
## ../SPLIT_LIST/MPUSI/scaffold_15.list
scaffold_15 347
## ../SPLIT_LIST/MPUSI/scaffold_16.list
scaffold_16 358
## ../SPLIT_LIST/MPUSI/scaffold_17.list
scaffold_17 282
## ../SPLIT_LIST/MPUSI/scaffold_18.list
scaffold_18 205
## ../SPLIT_LIST/MPUSI/scaffold_19.list
scaffold_19 84
## ../SPLIT_LIST/MPUSI/scaffold_1.list
scaffold_1 1057
scaffold_11 1
## ../SPLIT_LIST/MPUSI/scaffold_20.list
scaffold_20 5
## ../SPLIT_LIST/MPUSI/scaffold_2.list
scaffold_2 757
## ../SPLIT_LIST/MPUSI/scaffold_3.list
scaffold_3 928
## ../SPLIT_LIST/MPUSI/scaffold_4.list
scaffold_4 776
## ../SPLIT_LIST/MPUSI/scaffold_5.list
scaffold_5 714
scaffold_20 1
scaffold_11 1
scaffold_1 1
scaffold_12 1
## ../SPLIT_LIST/MPUSI/scaffold_6.list
scaffold_6 582
scaffold_3 4
scaffold_13 1
## ../SPLIT_LIST/MPUSI/scaffold_7.list
scaffold_7 581
## ../SPLIT_LIST/MPUSI/scaffold_8.list
scaffold_8 584
## ../SPLIT_LIST/MPUSI/scaffold_9.list
scaffold_9 529
