### Protein	3DFI name	plDDT score	AlphaFold ranked name	AlphaFold unranked name
ECU01_0010	ECU01_0010-m1.pdb	57.32103018552098	ranked_0.pdb	unrelaxed_model_3.pdb
ECU01_0010	ECU01_0010-m2.pdb	52.18790079040898	ranked_1.pdb	unrelaxed_model_1.pdb
ECU01_0010	ECU01_0010-m3.pdb	49.66915111855962	ranked_2.pdb	unrelaxed_model_4.pdb
ECU01_0010	ECU01_0010-m4.pdb	46.71365962187856	ranked_3.pdb	unrelaxed_model_5.pdb
ECU01_0010	ECU01_0010-m5.pdb	45.15603629480755	ranked_4.pdb	unrelaxed_model_2.pdb
ECU01_0020	ECU01_0020-m1.pdb	52.401012133536014	ranked_0.pdb	unrelaxed_model_1.pdb
ECU01_0020	ECU01_0020-m2.pdb	49.17992730582852	ranked_1.pdb	unrelaxed_model_2.pdb
ECU01_0020	ECU01_0020-m3.pdb	47.932028159232246	ranked_2.pdb	unrelaxed_model_4.pdb
ECU01_0020	ECU01_0020-m4.pdb	38.10433436544224	ranked_3.pdb	unrelaxed_model_3.pdb
ECU01_0020	ECU01_0020-m5.pdb	36.13084286397179	ranked_4.pdb	unrelaxed_model_5.pdb
ECU01_0030	ECU01_0030-m1.pdb	39.44509502804484	ranked_0.pdb	unrelaxed_model_1.pdb
ECU01_0030	ECU01_0030-m2.pdb	35.71986762160616	ranked_1.pdb	unrelaxed_model_4.pdb
ECU01_0030	ECU01_0030-m3.pdb	34.57256865389004	ranked_2.pdb	unrelaxed_model_2.pdb
ECU01_0030	ECU01_0030-m4.pdb	34.35293241222885	ranked_3.pdb	unrelaxed_model_5.pdb
ECU01_0030	ECU01_0030-m5.pdb	30.79948996414133	ranked_4.pdb	unrelaxed_model_3.pdb
ECU01_0040	ECU01_0040-m1.pdb	43.23268017807668	ranked_0.pdb	unrelaxed_model_4.pdb
ECU01_0040	ECU01_0040-m2.pdb	42.186050839134644	ranked_1.pdb	unrelaxed_model_3.pdb
ECU01_0040	ECU01_0040-m3.pdb	40.19505152480689	ranked_2.pdb	unrelaxed_model_1.pdb
ECU01_0040	ECU01_0040-m4.pdb	36.301978552240556	ranked_3.pdb	unrelaxed_model_2.pdb
ECU01_0040	ECU01_0040-m5.pdb	36.298351089776	ranked_4.pdb	unrelaxed_model_5.pdb
ECU01_0050	ECU01_0050-m1.pdb	54.411455686541565	ranked_0.pdb	unrelaxed_model_3.pdb
ECU01_0050	ECU01_0050-m2.pdb	52.37800544698156	ranked_1.pdb	unrelaxed_model_1.pdb
ECU01_0050	ECU01_0050-m3.pdb	52.27422695404144	ranked_2.pdb	unrelaxed_model_4.pdb
ECU01_0050	ECU01_0050-m4.pdb	51.13942831541387	ranked_3.pdb	unrelaxed_model_5.pdb
ECU01_0050	ECU01_0050-m5.pdb	50.82533045927862	ranked_4.pdb	unrelaxed_model_2.pdb
ECU01_0060	ECU01_0060-m1.pdb	43.13742264639368	ranked_0.pdb	unrelaxed_model_3.pdb
ECU01_0060	ECU01_0060-m2.pdb	40.66803839554272	ranked_1.pdb	unrelaxed_model_5.pdb
ECU01_0060	ECU01_0060-m3.pdb	39.04472567793157	ranked_2.pdb	unrelaxed_model_1.pdb
ECU01_0060	ECU01_0060-m4.pdb	37.7459811248458	ranked_3.pdb	unrelaxed_model_2.pdb
ECU01_0060	ECU01_0060-m5.pdb	34.9394609515514	ranked_4.pdb	unrelaxed_model_4.pdb
ECU01_0070	ECU01_0070-m1.pdb	82.14475973110622	ranked_0.pdb	unrelaxed_model_3.pdb
ECU01_0070	ECU01_0070-m2.pdb	81.73439537680203	ranked_1.pdb	unrelaxed_model_4.pdb
ECU01_0070	ECU01_0070-m3.pdb	80.97281068980938	ranked_2.pdb	unrelaxed_model_1.pdb
ECU01_0070	ECU01_0070-m4.pdb	80.12847239330542	ranked_3.pdb	unrelaxed_model_2.pdb
ECU01_0070	ECU01_0070-m5.pdb	79.12134851859054	ranked_4.pdb	unrelaxed_model_5.pdb
ECU01_0080	ECU01_0080-m1.pdb	82.19067370299506	ranked_0.pdb	unrelaxed_model_3.pdb
ECU01_0080	ECU01_0080-m2.pdb	81.95375645308964	ranked_1.pdb	unrelaxed_model_1.pdb
ECU01_0080	ECU01_0080-m3.pdb	81.37941235320231	ranked_2.pdb	unrelaxed_model_2.pdb
ECU01_0080	ECU01_0080-m4.pdb	79.8935598629544	ranked_3.pdb	unrelaxed_model_4.pdb
ECU01_0080	ECU01_0080-m5.pdb	79.08759079457566	ranked_4.pdb	unrelaxed_model_5.pdb
ECU01_0090	ECU01_0090-m1.pdb	73.78409931843447	ranked_0.pdb	unrelaxed_model_1.pdb
ECU01_0090	ECU01_0090-m2.pdb	72.90962135772543	ranked_1.pdb	unrelaxed_model_2.pdb
ECU01_0090	ECU01_0090-m3.pdb	70.91233616090669	ranked_2.pdb	unrelaxed_model_3.pdb
ECU01_0090	ECU01_0090-m4.pdb	70.09392772777382	ranked_3.pdb	unrelaxed_model_5.pdb
ECU01_0090	ECU01_0090-m5.pdb	69.8728359302516	ranked_4.pdb	unrelaxed_model_4.pdb
ECU01_0100	ECU01_0100-m1.pdb	74.06035978929305	ranked_0.pdb	unrelaxed_model_3.pdb
ECU01_0100	ECU01_0100-m2.pdb	73.66999202885418	ranked_1.pdb	unrelaxed_model_2.pdb
ECU01_0100	ECU01_0100-m3.pdb	73.54083853776713	ranked_2.pdb	unrelaxed_model_1.pdb
ECU01_0100	ECU01_0100-m4.pdb	73.24307692658563	ranked_3.pdb	unrelaxed_model_4.pdb
ECU01_0100	ECU01_0100-m5.pdb	72.61308310849083	ranked_4.pdb	unrelaxed_model_5.pdb
ECU01_0110	ECU01_0110-m1.pdb	72.10645932838207	ranked_0.pdb	unrelaxed_model_2.pdb
ECU01_0110	ECU01_0110-m2.pdb	71.60120762648036	ranked_1.pdb	unrelaxed_model_3.pdb
ECU01_0110	ECU01_0110-m3.pdb	71.16542747408035	ranked_2.pdb	unrelaxed_model_1.pdb
ECU01_0110	ECU01_0110-m4.pdb	70.29193942336954	ranked_3.pdb	unrelaxed_model_5.pdb
ECU01_0110	ECU01_0110-m5.pdb	69.99888499516642	ranked_4.pdb	unrelaxed_model_4.pdb
ECU01_0120	ECU01_0120-m1.pdb	80.48719110586552	ranked_0.pdb	unrelaxed_model_3.pdb
ECU01_0120	ECU01_0120-m2.pdb	80.31459386848262	ranked_1.pdb	unrelaxed_model_4.pdb
