## ../SPLIT_LIST/BATHY/FO082260.1.list
FO082260.1 72
## ../SPLIT_LIST/BATHY/FO082261.1.list
FO082261.1 156
## ../SPLIT_LIST/BATHY/FO082262.1.list
FO082262.1 230
## ../SPLIT_LIST/BATHY/FO082263.1.list
FO082263.1 256
## ../SPLIT_LIST/BATHY/FO082264.1.list
FO082264.1 275
## ../SPLIT_LIST/BATHY/FO082265.1.list
FO082265.1 325
## ../SPLIT_LIST/BATHY/FO082266.1.list
FO082266.1 300
## ../SPLIT_LIST/BATHY/FO082267.1.list
FO082267.1 388
## ../SPLIT_LIST/BATHY/FO082268.1.list
FO082268.1 379
         1
## ../SPLIT_LIST/BATHY/FO082269.1.list
FO082269.1 429
## ../SPLIT_LIST/BATHY/FO082270.1.list
FO082270.1 471
## ../SPLIT_LIST/BATHY/FO082271.1.list
FO082271.1 509
FO082263.1 1
## ../SPLIT_LIST/BATHY/FO082272.1.list
FO082272.1 489
## ../SPLIT_LIST/BATHY/FO082273.1.list
FO082273.1 520
## ../SPLIT_LIST/BATHY/FO082274.1.list
FO082274.1 521
## ../SPLIT_LIST/BATHY/FO082275.1.list
FO082275.1 510
## ../SPLIT_LIST/BATHY/FO082276.1.list
FO082276.1 574
FO082266.1 2
## ../SPLIT_LIST/BATHY/FO082277.1.list
FO082277.1 620
## ../SPLIT_LIST/BATHY/FO082278.1.list
FO082278.1 740
