### Query	Predictor	RCSB Code	Chain	RMSD	nAlign	GDT

### ECU01_0010
ECU01_0010-m1	ALPHAFOLD	3SOK	B	2.87	89	0.364
ECU01_0010-m1	ALPHAFOLD	5IW9	A	3.11	84	0.380
ECU01_0010-m1	ALPHAFOLD	3SOK	A	2.95	90	0.346
ECU01_0010-m1	ALPHAFOLD	3EMO	B	2.92	82	0.393
ECU01_0010-m1	ALPHAFOLD	3EMO	A	3.24	84	0.383

### ECU01_0020
ECU01_0020-m1	ALPHAFOLD	3ZCJ	F	3.23	80	0.334
ECU01_0020-m1	ALPHAFOLD	6FPD	A	2.85	99	0.313
ECU01_0020-m1	RAPTORX	5XNM	4	3.44	71	0.212
ECU01_0020-m1	RAPTORX	5XNL	8	3.47	71	0.213
ECU01_0020-m1	RAPTORX	5XNL	4	3.47	71	0.213
ECU01_0020-m1	RAPTORX	5XNN	4	3.47	71	0.213
ECU01_0020-m1	ALPHAFOLD	3ZCJ	C	3.28	92	0.331
ECU01_0020-m1	RAPTORX	5ZGB	3	3.62	72	0.225
ECU01_0020-m1	ALPHAFOLD	3ZCI	A	3.13	100	0.302
ECU01_0020-m1	ALPHAFOLD	3ZCJ	B	3.06	89	0.315

### ECU01_0030
ECU01_0030-m1	RAPTORX	4G6V	D	1.36	69	0.629
ECU01_0030-m1	RAPTORX	4G6V	B	1.36	69	0.629
ECU01_0030-m1	RAPTORX	4G6V	F	1.44	69	0.614
ECU01_0030-m1	RAPTORX	4G6V	H	1.44	69	0.614
ECU01_0030-m1	ALPHAFOLD	6E1F	D	3.46	69	0.421
ECU01_0030-m1	ALPHAFOLD	6L9J	B	3.22	69	0.418
ECU01_0030-m1	ALPHAFOLD	6L9J	H	3.04	68	0.394
ECU01_0030-m1	ALPHAFOLD	6L9J	I	3.16	68	0.416
ECU01_0030-m1	ALPHAFOLD	6L9J	E	3.21	70	0.396
ECU01_0030-m1	RAPTORX	2AYG	A	2.57	55	0.408

### ECU01_0060
ECU01_0060-m1	ALPHAFOLD	7NMM	F	2.96	65	0.497
ECU01_0060-m1	ALPHAFOLD	7NMM	C	2.96	66	0.523
ECU01_0060-m1	ALPHAFOLD	6R8M	E	3.48	67	0.514
ECU01_0060-m1	ALPHAFOLD	5ZNE	A	3.11	64	0.500
ECU01_0060-m1	ALPHAFOLD	1P8G	A	3.59	90	0.450
ECU01_0060-m1	RAPTORX	3ZIG	B	2.74	55	0.401
ECU01_0060-m1	RAPTORX	4ADZ	B	3.13	60	0.383
ECU01_0060-m1	RAPTORX	2MME	b	3.29	77	0.416
ECU01_0060-m1	RAPTORX	2MME	G	3.07	75	0.406
ECU01_0060-m1	RAPTORX	2MME	Y	3.30	77	0.418

### ECU01_0070
ECU01_0070-m1	RAPTORX	6G2J	N	2.25	183	0.515
ECU01_0070-m1	RAPTORX	5LUF	N	2.38	180	0.500
ECU01_0070-m1	RAPTORX	4UQ8	N	2.38	180	0.500
ECU01_0070-m1	RAPTORX	5LNK	N	2.18	182	0.508
ECU01_0070-m1	RAPTORX	6G72	N	2.32	182	0.510
ECU01_0070-m1	ALPHAFOLD	4BG0	A	3.22	126	0.349
ECU01_0070-m1	ALPHAFOLD	4CBE	A	3.27	127	0.347
ECU01_0070-m1	ALPHAFOLD	1R0D	F	3.12	115	0.370
ECU01_0070-m1	ALPHAFOLD	1R0D	E	3.10	115	0.363
ECU01_0070-m1	ALPHAFOLD	1R0D	B	3.11	115	0.367

### ECU01_0080
ECU01_0080-m1	RAPTORX	4U3J	C	2.81	206	0.517
ECU01_0080-m1	RAPTORX	2QK1	A	2.85	204	0.511
ECU01_0080-m1	RAPTORX	6MQ7	B	2.94	209	0.507
ECU01_0080-m1	RAPTORX	3WOY	A	2.91	207	0.504
ECU01_0080-m1	RAPTORX	4K92	B	2.99	201	0.493

### ECU01_0090
ECU01_0090-m1	RAPTORX	6G2J	N	2.06	198	0.527
ECU01_0090-m1	RAPTORX	5XTD	i	2.17	199	0.536
ECU01_0090-m1	RAPTORX	5XTC	i	2.17	199	0.536
ECU01_0090-m1	RAPTORX	6G72	N	2.03	197	0.514
ECU01_0090-m1	RAPTORX	4UQ8	N	2.13	194	0.495
ECU01_0090-m1	ALPHAFOLD	4BG0	A	3.33	135	0.361
ECU01_0090-m1	ALPHAFOLD	3MAC	A	3.39	134	0.360
ECU01_0090-m1	ALPHAFOLD	3O40	A	3.80	136	0.354
ECU01_0090-m1	ALPHAFOLD	2XRA	A	3.46	136	0.347
ECU01_0090-m1	ALPHAFOLD	1R0D	I	3.15	124	0.382

### ECU01_0100
ECU01_0100-m1	RAPTORX	1CII	A	3.08	372	0.348

### ECU01_0110
ECU01_0110-m1	RAPTORX	1CII	A	2.93	367	0.346

### ECU01_0120
ECU01_0120-m1	RAPTORX	3TCV	A	1.71	97	0.432
ECU01_0120-m1	RAPTORX	3TCV	B	1.63	97	0.431
ECU01_0120-m1	RAPTORX	3R96	B	2.30	93	0.377
ECU01_0120-m1	RAPTORX	3R9G	B	2.29	93	0.377
ECU01_0120-m1	RAPTORX	1S7L	A	2.29	93	0.363
ECU01_0120-m1	ALPHAFOLD	1YOC	A	3.51	65	0.222
ECU01_0120-m1	ALPHAFOLD	4QDA	A	3.22	88	0.371
ECU01_0120-m1	ALPHAFOLD	4QDA	D	3.21	88	0.376
ECU01_0120-m1	ALPHAFOLD	1YOC	B	3.99	68	0.221
ECU01_0120-m1	ALPHAFOLD	4KF5	B	3.66	111	0.284

### ECU01_0130
ECU01_0130-m1	RAPTORX	5MFF	D	2.76	238	0.523
ECU01_0130-m1	RAPTORX	5MFF	B	2.75	239	0.512
ECU01_0130-m1	RAPTORX	5MFF	A	2.79	240	0.504
ECU01_0130-m1	RAPTORX	4PLQ	A	2.80	236	0.497
ECU01_0130-m1	RAPTORX	5AEI	B	2.71	234	0.488

### ECU01_0140
ECU01_0140-m1	RAPTORX	3SE6	A	0.60	828	0.943
ECU01_0140-m1	RAPTORX	3SE6	A			
ECU01_0140-m1	RAPTORX	3SE6	B	0.60	822	0.941
ECU01_0140-m1	RAPTORX	3SE6	B			
ECU01_0140-m1	RAPTORX	4E36	A	0.62	828	0.941
ECU01_0140-m1	RAPTORX	4E36	A			
ECU01_0140-m1	RAPTORX	4E36	B	0.63	822	0.941
ECU01_0140-m1	RAPTORX	4E36	B			
ECU01_0140-m1	RAPTORX	4JBS	A	0.65	828	0.938
ECU01_0140-m1	RAPTORX	4JBS	A			
ECU01_0140-m1	ALPHAFOLD	4KX7	A	1.59	809	0.762
ECU01_0140-m1	ALPHAFOLD	4KX7	A			
ECU01_0140-m1	ALPHAFOLD	4KXA	A	1.59	809	0.761
ECU01_0140-m1	ALPHAFOLD	4KXA	A			
ECU01_0140-m1	ALPHAFOLD	4KXB	A	1.60	809	0.758
ECU01_0140-m1	ALPHAFOLD	4KXB	A			
ECU01_0140-m1	ALPHAFOLD	4KX9	A	1.59	809	0.760
ECU01_0140-m1	ALPHAFOLD	4KX9	A			
ECU01_0140-m1	ALPHAFOLD	4KXC	A	1.60	809	0.758
ECU01_0140-m1	ALPHAFOLD	4KXC	A			

### ECU01_0170
ECU01_0170-m1	RAPTORX	3VCO	A	0.49	174	0.939
ECU01_0170-m1	RAPTORX	1KMS	A	1.77	171	0.754
ECU01_0170-m1	ALPHAFOLD	1DIU	A	2.32	179	0.695
ECU01_0170-m1	ALPHAFOLD	1DIU	A			
ECU01_0170-m1	ALPHAFOLD	3DFR	A	1.66	157	0.835
ECU01_0170-m1	ALPHAFOLD	3DFR	A			
ECU01_0170-m1	ALPHAFOLD	1DIS	A	1.75	158	0.832
ECU01_0170-m1	ALPHAFOLD	1DIS	A			
ECU01_0170-m1	ALPHAFOLD	4GH8	A	1.61	157	0.835
ECU01_0170-m1	ALPHAFOLD	4GH8	A			
ECU01_0170-m1	ALPHAFOLD	4KJL	A	1.69	155	0.839
ECU01_0170-m1	ALPHAFOLD	4KJL	A			
ECU01_0170-m1	RAPTORX	1KMV	A	1.82	170	0.739
ECU01_0170-m1	RAPTORX	4DDR	A	1.89	172	0.733
ECU01_0170-m1	RAPTORX	5HVE	A	1.86	171	0.734

### ECU01_0180
ECU01_0180-m1	RAPTORX	5X67	A	0.70	285	0.969
ECU01_0180-m1	RAPTORX	6OJU	D	0.72	284	0.968
ECU01_0180-m1	RAPTORX	5FCT	B	0.75	286	0.964
ECU01_0180-m1	RAPTORX	6OJU	A	0.73	284	0.965
ECU01_0180-m1	RAPTORX	5FCT	A	0.76	286	0.962
ECU01_0180-m1	ALPHAFOLD	6OJU	A	0.81	284	0.966
ECU01_0180-m1	ALPHAFOLD	6F6Z	B	0.84	286	0.967
ECU01_0180-m1	ALPHAFOLD	6OJU	D	0.81	284	0.967
ECU01_0180-m1	ALPHAFOLD	6OJV	C	0.82	284	0.965
ECU01_0180-m1	ALPHAFOLD	5FCT	B	0.85	286	0.961

### ECU01_0190
ECU01_0190-m1	RAPTORX	5X3V	A	0.66	437	0.967
ECU01_0190-m1	RAPTORX	5X3V	B	0.77	434	0.959
ECU01_0190-m1	ALPHAFOLD	6CD1	D	1.04	440	0.926
ECU01_0190-m1	ALPHAFOLD	6CD0	C	1.13	446	0.922
ECU01_0190-m1	ALPHAFOLD	6CD1	A	1.02	444	0.913
ECU01_0190-m1	ALPHAFOLD	5YG4	A	1.06	439	0.925
ECU01_0190-m1	ALPHAFOLD	5YG4	C	1.06	439	0.925
ECU01_0190-m1	RAPTORX	6QVL	A	1.06	436	0.928
ECU01_0190-m1	RAPTORX	6QVG	A	1.05	436	0.930
ECU01_0190-m1	RAPTORX	4PVF	A	1.11	436	0.923

### ECU01_0200
ECU01_0200-m1	RAPTORX	4AYX	A	2.53	462	0.543
ECU01_0200-m1	RAPTORX	3ZDQ	A	2.55	462	0.550
ECU01_0200-m1	RAPTORX	5U1D	A	2.94	484	0.512
ECU01_0200-m1	RAPTORX	5MKK	B	2.65	471	0.512
ECU01_0200-m1	RAPTORX	4Q4J	B	2.67	473	0.515

### ECU01_0210
ECU01_0210-m1	RAPTORX	5X7V	D	2.07	153	0.648
ECU01_0210-m1	RAPTORX	2E50	B	1.76	136	0.704
ECU01_0210-m1	RAPTORX	2E50	A	1.64	139	0.686
ECU01_0210-m1	RAPTORX	2E50	P	1.60	140	0.696
ECU01_0210-m1	RAPTORX	2E50	Q	1.75	130	0.701
ECU01_0210-m1	ALPHAFOLD	5ZB5	A	2.67	142	0.528
ECU01_0210-m1	ALPHAFOLD	5ZB5	B	2.78	141	0.513
ECU01_0210-m1	ALPHAFOLD	5YPS	D	2.71	140	0.522
ECU01_0210-m1	ALPHAFOLD	5YPS	B	2.77	140	0.514
ECU01_0210-m1	ALPHAFOLD	5YPS	A	2.76	142	0.527

### ECU01_0220
ECU01_0220-m1	RAPTORX	2NCJ	A	3.46	157	0.349
ECU01_0220-m1	RAPTORX	2V0X	B	3.03	120	0.335
ECU01_0220-m1	RAPTORX	2V0X	A	3.00	121	0.359
ECU01_0220-m1	ALPHAFOLD	2I0M	A	2.81	115	0.350
ECU01_0220-m1	RAPTORX	2JAA	B	2.94	104	0.357
ECU01_0220-m1	ALPHAFOLD	6Y7F	B	3.06	134	0.325
