## ../SPLIT_LIST/OTAURI/NC_008289.1.list
NC_008289.1 61
## ../SPLIT_LIST/OTAURI/NC_008290.1.list
NC_008290.1 43
## ../SPLIT_LIST/OTAURI/NC_014426.1.list
NC_014426.1 658
## ../SPLIT_LIST/OTAURI/NC_014427.1.list
NC_014427.1 648
NC_014428.1 1
## ../SPLIT_LIST/OTAURI/NC_014428.1.list
NC_014428.1 600
## ../SPLIT_LIST/OTAURI/NC_014429.1.list
NC_014429.1 575
NC_014427.1 1
## ../SPLIT_LIST/OTAURI/NC_014430.1.list
NC_014430.1 515
## ../SPLIT_LIST/OTAURI/NC_014431.1.list
NC_014431.1 494
## ../SPLIT_LIST/OTAURI/NC_014432.1.list
NC_014432.1 465
## ../SPLIT_LIST/OTAURI/NC_014433.1.list
NC_014433.1 417
## ../SPLIT_LIST/OTAURI/NC_014434.1.list
NC_014434.1 444
## ../SPLIT_LIST/OTAURI/NC_014435.1.list
NC_014435.1 366
## ../SPLIT_LIST/OTAURI/NC_014436.1.list
NC_014436.1 349
## ../SPLIT_LIST/OTAURI/NC_014437.1.list
NC_014437.1 317
## ../SPLIT_LIST/OTAURI/NC_014438.1.list
NC_014438.1 320
## ../SPLIT_LIST/OTAURI/NC_014439.1.list
NC_014439.1 351
## ../SPLIT_LIST/OTAURI/NC_014440.1.list
NC_014440.1 307
## ../SPLIT_LIST/OTAURI/NC_014441.1.list
NC_014441.1 309
NC_014430.1 1
## ../SPLIT_LIST/OTAURI/NC_014442.1.list
NC_014442.1 271
## ../SPLIT_LIST/OTAURI/NC_014443.1.list
NC_014443.1 214
## ../SPLIT_LIST/OTAURI/NC_014444.1.list
NC_014444.1 136
## ../SPLIT_LIST/OTAURI/NC_014445.1.list
NC_014445.1 93
NC_014436.1 1
