### Locus tag	Product description
ECU01_0010	hypothetical protein
ECU01_0020	hypothetical protein
ECU01_0030	hypothetical protein
ECU01_0040	hypothetical protein
ECU01_0050	hypothetical protein
ECU01_0060	hypothetical protein
ECU01_0070	hypothetical protein
ECU01_0080	hypothetical protein
ECU01_0090	hypothetical protein
ECU01_0100	hypothetical protein
ECU01_0110	glypican-4
ECU01_0120	hypothetical protein
ECU01_0130	hypothetical protein
ECU01_0140	glutamyl-aminopeptidase
ECU01_0170	dihydrofolate reductase
ECU01_0180	thymidylate synthase
ECU01_0190	serine hydroxymethyltransferase
ECU01_0200	ABC transporter
ECU01_0210	hypothetical protein
ECU01_0220	hypothetical protein
ECU01_0230	hypothetical protein
ECU01_0240	fructose biphosphate aldolase B
ECU01_0250	hypothetical protein
ECU01_0260i	dynein light chain
ECU01_0280	hypothetical protein
ECU01_0290	hypothetical protein
ECU01_0300	hypothetical protein
ECU01_0310	60S ribosomal protein L8
ECU01_0320	hypothetical protein
ECU01_0330	hypothetical protein
ECU01_0340	hypothetical protein
ECU01_0350	helicase DNA-binding protein
ECU01_0360	hypothetical protein
ECU01_0370	zuotin
ECU01_0380	hypothetical protein
ECU01_0390	hypothetical protein
ECU01_0400	hypothetical protein
ECU01_0410	hypothetical protein
ECU01_0420	hypothetical protein
ECU01_0430	hypothetical protein
ECU01_0440	hypothetical protein
ECU01_0450	hypothetical protein
ECU01_0460	actin
ECU01_0470	transcription factor
ECU01_0480	hypothetical protein
ECU01_0490	hypothetical protein
ECU01_0500	hypothetical protein
ECU01_0510	NifU
ECU01_0520	hypothetical protein
ECU01_0530	hypothetical protein
ECU01_0540	RNA-binding protein
ECU01_0545	small nuclear ribonucleoprotein
ECU01_0550	hypothetical protein
ECU01_0560	hypothetical protein
ECU01_0570	heat shock protein
ECU01_0580	hypothetical protein
ECU01_0590	hypothetical protein
ECU01_0600	DNA-directed RNA polymerase I
ECU01_0610	hypothetical protein
ECU01_0620	hypothetical protein
ECU01_0630	serine/threonine protein kinase
ECU01_0640	hypothetical protein
ECU01_0650	phosphoacetyl-glucosamine mutase
ECU01_0660	thioredoxin reductase
ECU01_0670	hypothetical protein
ECU01_0680	thioredoxin reductase
ECU01_0690	hypothetical protein
ECU01_0700	eukaryotic translation initiation factor 2
ECU01_0710	hypothetical protein
ECU01_0720	thioredoxin
ECU01_0730	leptin receptor
ECU01_0740i	thymidine kinase
ECU01_0750	hypothetical protein
ECU01_0760	hypothetical protein
ECU01_0770	hypothetical protein
ECU01_0780	hypothetical protein
ECU01_0790	hypothetical protein
ECU01_0800	alpha%2Calpha trehalose-phosphate synthase
ECU01_0810	hypothetical protein
ECU01_0820	hypothetical protein
ECU01_0830	hypothetical protein
ECU01_0840	ribonucleoprotein
ECU01_0850	hypothetical protein
ECU01_0860	hypothetical protein
ECU01_0870	trehalose-6-phosphate synthase
ECU01_0880	hypothetical protein
ECU01_0890	hypothetical protein
