
GenomeNet icon	
LinkDB Search


Mode: Single Entry to Database
From: KEGG GENOME T01330
To: KEGG GENES
Hits: 14434 from 1 database
ID                   Definition
----------------------------------------------------------------------------------------------------
vcn:VOLCADRAFT_100003 hypothetical protein 
vcn:VOLCADRAFT_100006 hypothetical protein 
vcn:VOLCADRAFT_100007 hypothetical protein 
vcn:VOLCADRAFT_100008 hypothetical protein 
vcn:VOLCADRAFT_100009 hypothetical protein; K00311 electron-transferring-flavoprotein dehydrogenase [EC:1.5.5.1] 
vcn:VOLCADRAFT_100010 hypothetical protein 
vcn:VOLCADRAFT_100017 hypothetical protein 
vcn:VOLCADRAFT_100018 cyc50; guanylyl and adenylyl cyclase family member 
vcn:VOLCADRAFT_100025 hypothetical protein 
vcn:VOLCADRAFT_100027 hypothetical protein 
vcn:VOLCADRAFT_100028 hypothetical protein 
vcn:VOLCADRAFT_100034 hypothetical protein; K02331 DNA polymerase phi [EC:2.7.7.7] 
vcn:VOLCADRAFT_100035 hypothetical protein 
vcn:VOLCADRAFT_100038 hypothetical protein 
vcn:VOLCADRAFT_100039 hypothetical protein 
vcn:VOLCADRAFT_100042 hypothetical protein 
vcn:VOLCADRAFT_100043 hypothetical protein 
vcn:VOLCADRAFT_100045 hypothetical protein 
vcn:VOLCADRAFT_100057 hypothetical protein 
vcn:VOLCADRAFT_100062 hypothetical protein 
vcn:VOLCADRAFT_100067 hypothetical protein 
vcn:VOLCADRAFT_100069 hypothetical protein 
vcn:VOLCADRAFT_100070 hypothetical protein 
vcn:VOLCADRAFT_100074 dnj9; molecular chaperone 
vcn:VOLCADRAFT_100079 hypothetical protein 
vcn:VOLCADRAFT_100088 hypothetical protein 
vcn:VOLCADRAFT_100090 hypothetical protein 
vcn:VOLCADRAFT_100094 hypothetical protein 
vcn:VOLCADRAFT_100097 hypothetical protein 
vcn:VOLCADRAFT_100098 hypothetical protein 
vcn:VOLCADRAFT_100103 hypothetical protein 
vcn:VOLCADRAFT_100104 hypothetical protein 
vcn:VOLCADRAFT_100105 hypothetical protein 
vcn:VOLCADRAFT_100109 hypothetical protein 
vcn:VOLCADRAFT_100110 hypothetical protein 
vcn:VOLCADRAFT_100114 hypothetical protein 
vcn:VOLCADRAFT_100117 hypothetical protein 
vcn:VOLCADRAFT_100118 hypothetical protein 
vcn:VOLCADRAFT_100124 hypothetical protein 
vcn:VOLCADRAFT_100126 hypothetical protein 
vcn:VOLCADRAFT_100128 hypothetical protein 
vcn:VOLCADRAFT_100129 hypothetical protein 
vcn:VOLCADRAFT_100130 hypothetical protein 
vcn:VOLCADRAFT_100133 hypothetical protein 
vcn:VOLCADRAFT_100136 hypothetical protein 
vcn:VOLCADRAFT_100138 hypothetical protein 
vcn:VOLCADRAFT_100140 hypothetical protein 
vcn:VOLCADRAFT_100141 hypothetical protein 
vcn:VOLCADRAFT_100142 hypothetical protein 
vcn:VOLCADRAFT_100143 hypothetical protein; K15747 beta-ring hydroxylase [EC:1.14.-.-] 
vcn:VOLCADRAFT_100151 hypothetical protein 
vcn:VOLCADRAFT_100152 hypothetical protein 
vcn:VOLCADRAFT_100158 hypothetical protein 
vcn:VOLCADRAFT_100160 hypothetical protein 
vcn:VOLCADRAFT_100161 hypothetical protein 
vcn:VOLCADRAFT_100162 hypothetical protein 
vcn:VOLCADRAFT_100164 hypothetical protein 
vcn:VOLCADRAFT_100173 hypothetical protein; K01303 acylaminoacyl-peptidase [EC:3.4.19.1] 
vcn:VOLCADRAFT_100174 hypothetical protein 
vcn:VOLCADRAFT_100178 phV17; extracellular matrix glycoprotein pherophorin-V17 
vcn:VOLCADRAFT_100181 hypothetical protein 
vcn:VOLCADRAFT_100182 hypothetical protein 
vcn:VOLCADRAFT_100183 hypothetical protein 
vcn:VOLCADRAFT_100184 hypothetical protein; K13717 OTU domain-containing protein 3 
vcn:VOLCADRAFT_100185 hypothetical protein 
vcn:VOLCADRAFT_100186 hypothetical protein 
vcn:VOLCADRAFT_100187 hypothetical protein 
vcn:VOLCADRAFT_100188 hypothetical protein 
vcn:VOLCADRAFT_100191 hypothetical protein 
vcn:VOLCADRAFT_100192 hypothetical protein 
vcn:VOLCADRAFT_100193 hypothetical protein 
vcn:VOLCADRAFT_100196 hypothetical protein 
vcn:VOLCADRAFT_100201 hypothetical protein 
vcn:VOLCADRAFT_100204 low molecular mass early light-induced protein 
vcn:VOLCADRAFT_100206 hypothetical protein 
vcn:VOLCADRAFT_100209 hypothetical protein 
vcn:VOLCADRAFT_100215 hypothetical protein 
vcn:VOLCADRAFT_100216 hypothetical protein 
vcn:VOLCADRAFT_100217 hypothetical protein 
vcn:VOLCADRAFT_100219 hypothetical protein 
vcn:VOLCADRAFT_100223 hypothetical protein 
vcn:VOLCADRAFT_100224 hypothetical protein 
vcn:VOLCADRAFT_100225 hypothetical protein 
vcn:VOLCADRAFT_100230 hypothetical protein 
vcn:VOLCADRAFT_100233 hypothetical protein 
vcn:VOLCADRAFT_100234 hypothetical protein 
vcn:VOLCADRAFT_100238 hypothetical protein 
vcn:VOLCADRAFT_100239 hypothetical protein 
vcn:VOLCADRAFT_100240 hypothetical protein 
vcn:VOLCADRAFT_100243 hypothetical protein 
vcn:VOLCADRAFT_100244 hypothetical protein 
vcn:VOLCADRAFT_100245 hypothetical protein 
vcn:VOLCADRAFT_100246 hypothetical protein 
vcn:VOLCADRAFT_100247 hypothetical protein 
vcn:VOLCADRAFT_100249 hypothetical protein 
vcn:VOLCADRAFT_100250 hypothetical protein 
vcn:VOLCADRAFT_100251 hypothetical protein 
vcn:VOLCADRAFT_100252 hypothetical protein 
vcn:VOLCADRAFT_100253 hypothetical protein 
vcn:VOLCADRAFT_100255 hypothetical protein 
vcn:VOLCADRAFT_100258 hypothetical protein 
vcn:VOLCADRAFT_100259 hypothetical protein 
vcn:VOLCADRAFT_100260 hypothetical protein 
vcn:VOLCADRAFT_100261 hypothetical protein 
vcn:VOLCADRAFT_100264 hypothetical protein 
vcn:VOLCADRAFT_100265 hypothetical protein 
vcn:VOLCADRAFT_100268 hypothetical protein 
vcn:VOLCADRAFT_100269 hypothetical protein 
vcn:VOLCADRAFT_100270 hypothetical protein 
vcn:VOLCADRAFT_100271 hypothetical protein 
vcn:VOLCADRAFT_100272 hypothetical protein 
vcn:VOLCADRAFT_100275 hypothetical protein 
vcn:VOLCADRAFT_100277 hypothetical protein 
vcn:VOLCADRAFT_100280 hypothetical protein 
vcn:VOLCADRAFT_100281 hypothetical protein 
vcn:VOLCADRAFT_100282 hypothetical protein; K17602 YLP motif-containing protein 1 
vcn:VOLCADRAFT_100290 hypothetical protein 
vcn:VOLCADRAFT_100292 hypothetical protein 
vcn:VOLCADRAFT_100293 hypothetical protein 
vcn:VOLCADRAFT_100294 hypothetical protein 
vcn:VOLCADRAFT_100299 hypothetical protein 
vcn:VOLCADRAFT_100302 hypothetical protein 
vcn:VOLCADRAFT_100303 hypothetical protein 
vcn:VOLCADRAFT_100305 hypothetical protein 
vcn:VOLCADRAFT_100310 hypothetical protein 
vcn:VOLCADRAFT_100311 hypothetical protein 
vcn:VOLCADRAFT_100314 hypothetical protein 
vcn:VOLCADRAFT_100315 hypothetical protein; K03355 anaphase-promoting complex subunit 8 
vcn:VOLCADRAFT_100316 hypothetical protein 
vcn:VOLCADRAFT_100322 hypothetical protein 
vcn:VOLCADRAFT_100323 hypothetical protein 
vcn:VOLCADRAFT_100325 hypothetical protein 
vcn:VOLCADRAFT_100329 hypothetical protein 
vcn:VOLCADRAFT_100332 hypothetical protein 
vcn:VOLCADRAFT_100337 hypothetical protein 
vcn:VOLCADRAFT_100338 hypothetical protein 
vcn:VOLCADRAFT_100341 hypothetical protein 
vcn:VOLCADRAFT_100342 hypothetical protein 
vcn:VOLCADRAFT_100343 hypothetical protein 
vcn:VOLCADRAFT_100344 hypothetical protein 
vcn:VOLCADRAFT_100348 hypothetical protein 
vcn:VOLCADRAFT_100358 hypothetical protein 
vcn:VOLCADRAFT_100359 hypothetical protein 
vcn:VOLCADRAFT_100363 hypothetical protein 
vcn:VOLCADRAFT_100375 hypothetical protein 
vcn:VOLCADRAFT_100383 hypothetical protein 
vcn:VOLCADRAFT_100386 hypothetical protein 
vcn:VOLCADRAFT_100387 hypothetical protein 
vcn:VOLCADRAFT_100395 hypothetical protein 
vcn:VOLCADRAFT_100398 hypothetical protein 
vcn:VOLCADRAFT_100401 hypothetical protein 
vcn:VOLCADRAFT_100403 hypothetical protein 
vcn:VOLCADRAFT_100407 hypothetical protein; K12471 epsin 
vcn:VOLCADRAFT_100411 hypothetical protein; K14998 surfeit locus 1 family protein 
vcn:VOLCADRAFT_100415 hypothetical protein 
vcn:VOLCADRAFT_100419 mcm8; minichromosome maintenance protein 8; K10737 DNA helicase MCM8 [EC:3.6.4.12] 
vcn:VOLCADRAFT_100420 hypothetical protein 
vcn:VOLCADRAFT_100426 hypothetical protein 
vcn:VOLCADRAFT_100428 hypothetical protein 
