ECU01_0190	serine hydroxymethyltransferase
ECU01_0200	mitochondrial ABC transporter
ECU01_0210	hypothetical protein
ECU01_0220	hypothetical protein
ECU01_0230	hypothetical protein
ECU01_0240	fructose-1,6-bisphosphate aldolase
ECU01_0250	hypothetical protein
ECU01_0260i	dynein light chain-like protein
ECU01_0280	hypothetical protein
ECU01_0290	hypothetical protein
ECU01_0305	hypothetical protein
ECU01_0310	60S ribosomal protein L2P
ECU01_0320	hypothetical protein
ECU01_0330	U3 small nucleolar ribonucleoprotein component
ECU01_0340	hypothetical protein
ECU01_0350	DEAD-like helicase
ECU01_0360	60S ribosomal subunit biogenesis RNA-binding
ECU01_0370	zuotin-like protein
ECU01_0380	cell differentiation protein rcd1
ECU01_0390	hypothetical protein
ECU01_0400	hypothetical protein
ECU01_0405	tRNA-Gly
ECU01_0410	hypothetical protein
ECU01_0420	hypothetical protein
ECU01_0430	cleavage and polyadenylation specificity factor
ECU01_0440	hypothetical protein
ECU01_0450	DNA repair protein RAD4
ECU01_0460	actin
ECU01_0470	forkhead/HNF3 transcription factor
ECU01_0480	40S ribosomal biogenesis protein
ECU01_0490	hypothetical protein
ECU01_0500	RNA polymerase II transcriptional regulation
ECU01_0510	Fe-S cluster assembly protein IscU
ECU01_0520	hypothetical protein
ECU01_0530	peripheral Golgi membrane protein
ECU01_0540	putative RNA-binding protein
ECU01_0545	small nuclear ribonucleoprotein
ECU01_0550	hypothetical protein
ECU01_0560	hypothetical protein
ECU01_0570	hypothetical protein
ECU01_0580	hypothetical protein
ECU01_0590	hypothetical protein
ECU01_0600	DNA-directed RNA polymerase I
ECU01_0610	hypothetical protein
ECU01_0620	hypothetical protein
ECU01_0630	serine/threonine protein kinase
ECU01_0640	hypothetical protein
ECU01_0650	phosphoacetylglucosamine mutase
ECU01_0670	RNA polymerase II transcription
ECU01_0680	thioredoxin reductase-like protein
ECU01_0690	hypothetical protein
ECU01_0700	eukaryotic translation initiation factor 2
ECU01_0710	hypothetical protein
ECU01_0720	thioredoxin
ECU01_0730	hypothetical protein
ECU01_0740i	thymidine kinase
ECU01_0750	HRD ubiquitin ligase complex protein
ECU01_0760	hypothetical protein
ECU01_0770	hypothetical protein
ECU01_0775	tRNA-Ser
ECU01_0780	RING Zn-finger domain-containing protein
ECU01_0790	hypothetical protein
ECU01_0800	trehalose-6-phosphate synthase
ECU01_0810	hypothetical protein
ECU01_0820	hypothetical protein
ECU01_0830	CCCH-type Zn-finger protein
ECU01_0840	putative ribonucleoprotein
ECU01_0850	hypothetical protein
ECU01_0860	hypothetical protein
ECU01_0870	trehalose 6-phosphate phosphatase
ECU01_0880	hypothetical protein
ECU01_0890	hypothetical protein
ECU01_0900	hypothetical protein
ECU01_0910	hypothetical protein
ECU01_0920	40S ribosomal protein S12
ECU01_0930i	thioredoxin-like protein
ECU01_0940	ubiquitin conjugating enzyme E2
ECU01_0950	hypothetical protein
ECU01_0955	hypothetical protein
ECU01_0960	Tat binding protein 1-interacting protein
ECU01_0970	aldo-keto reductase
ECU01_0980	WD domain-containing protein
ECU01_0990	hypothetical protein
ECU01_1000	CDP-diacylglycerol
ECU01_1010	ubiquitin-conjugating enzyme E2
ECU01_1020	hypothetical protein
ECU01_1030	cell cycle control microtubule-binding protein
ECU01_1040	general negative regulator of transcription
ECU01_1050	hypothetical protein
ECU01_1060	Rad25-like DNA repair helicase
ECU01_1070	hypothetical protein
ECU01_1080	tRNA/rRNA cytosine-C5-methylase
ECU01_1090	hypothetical protein
ECU01_1095	SCF ubiquitin ligase and anaphase-promoting
ECU01_1100	hypothetical protein
ECU01_1110	hypothetical protein
ECU01_1115	cytochrome B5
ECU01_1120	hypothetical protein
ECU01_1130	S8 serine protease
ECU01_1140	hypothetical protein
ECU01_1150	cyclin K-like protein
ECU01_1160	chromosome segregation ATPase
ECU01_1170	hypothetical protein
ECU01_1180	replication factor C large subunit
ECU01_1190	hypothetical protein
ECU01_1200	hypothetical protein
ECU01_1210	dynamin
ECU01_1220	guanylate kinase
ECU01_1230	AAA+ ATPase
