## ../SPLIT_LIST/COCCO/NW_005178014.1.list
NW_005178014.1 15
## ../SPLIT_LIST/COCCO/NW_005178015.1.list
NW_005178015.1 35
NW_005178037.1 1
## ../SPLIT_LIST/COCCO/NW_005178016.1.list
NW_005178016.1 64
## ../SPLIT_LIST/COCCO/NW_005178017.1.list
NW_005178017.1 73
## ../SPLIT_LIST/COCCO/NW_005178018.1.list
NW_005178018.1 113
## ../SPLIT_LIST/COCCO/NW_005178019.1.list
NW_005178019.1 124
NW_005178038.1 1
NW_005178037.1 1
NW_005178042.1 1
## ../SPLIT_LIST/COCCO/NW_005178020.1.list
NW_005178020.1 176
NW_005178028.1 2
NW_005178041.1 1
NW_005178037.1 1
NW_005178038.1 1
## ../SPLIT_LIST/COCCO/NW_005178021.1.list
NW_005178021.1 188
## ../SPLIT_LIST/COCCO/NW_005178022.1.list
NW_005178022.1 204
NW_005178039.1 1
NW_005178040.1 1
## ../SPLIT_LIST/COCCO/NW_005178023.1.list
NW_005178023.1 220
NW_005178036.1 13
NW_005178037.1 2
NW_005178034.1 1
NW_005178039.1 1
## ../SPLIT_LIST/COCCO/NW_005178024.1.list
NW_005178024.1 254
NW_005178040.1 7
NW_005178037.1 4
NW_005178038.1 3
NW_005178041.1 2
## ../SPLIT_LIST/COCCO/NW_005178025.1.list
NW_005178025.1 295
NW_005178032.1 2
NW_005178039.1 2
NW_005178041.1 1
NW_005178037.1 1
## ../SPLIT_LIST/COCCO/NW_005178026.1.list
NW_005178026.1 222
NW_005178042.1 1
## ../SPLIT_LIST/COCCO/NW_005178027.1.list
NW_005178027.1 307
NW_005178042.1 2
NW_005178035.1 1
NW_005178034.1 1
NW_005178037.1 1
## ../SPLIT_LIST/COCCO/NW_005178028.1.list
NW_005178028.1 271
## ../SPLIT_LIST/COCCO/NW_005178029.1.list
NW_005178029.1 349
NW_005178037.1 2
NW_005178034.1 1
NW_005178042.1 1
NW_005178035.1 1
NW_005178041.1 1
## ../SPLIT_LIST/COCCO/NW_005178030.1.list
NW_005178030.1 316
NW_005178038.1 2
NW_005178037.1 2
NW_005178041.1 1
## ../SPLIT_LIST/COCCO/NW_005178031.1.list
NW_005178031.1 417
NW_005178037.1 3
NW_005178041.1 3
NW_005178042.1 2
NW_005178040.1 1
NW_005178039.1 1
## ../SPLIT_LIST/COCCO/NW_005178032.1.list
NW_005178032.1 362
NW_005178036.1 6
NW_005178039.1 3
NW_005178040.1 1
NW_005178041.1 1
NW_005178034.1 1
NW_005178037.1 1
NW_005178042.1 1
## ../SPLIT_LIST/COCCO/NW_005178033.1.list
NW_005178033.1 414
NW_005178037.1 2
NW_005178042.1 2
NW_005178039.1 1
NW_005178040.1 1
## ../SPLIT_LIST/COCCO/NW_005178034.1.list
NW_005178034.1 409
NW_005178040.1 2
NW_005178042.1 1
NW_005178039.1 1
NW_005178037.1 1
NW_005178041.1 1
## ../SPLIT_LIST/COCCO/NW_005178035.1.list
NW_005178035.1 381
NW_005178037.1 2
NW_005178042.1 1
NW_005178041.1 1
NW_005178040.1 1
NW_005178038.1 1
## ../SPLIT_LIST/COCCO/NW_005178036.1.list
NW_005178036.1 495
NW_005178042.1 3
NW_005178041.1 1
NW_005178040.1 1
## ../SPLIT_LIST/COCCO/NW_005178037.1.list
NW_005178037.1 554
NW_005178042.1 3
NW_005178041.1 1
## ../SPLIT_LIST/COCCO/NW_005178038.1.list
NW_005178038.1 588
NW_005178037.1 2
NW_005178042.1 2
NW_005178041.1 1
NW_005178040.1 1
## ../SPLIT_LIST/COCCO/NW_005178039.1.list
NW_005178039.1 657
NW_005178037.1 1
NW_005178041.1 1
NW_005178040.1 1
## ../SPLIT_LIST/COCCO/NW_005178040.1.list
NW_005178040.1 599
NW_005178042.1 2
NW_005178041.1 2
NW_005178037.1 2
## ../SPLIT_LIST/COCCO/NW_005178041.1.list
NW_005178041.1 785
NW_005178037.1 1
NW_005178042.1 1
## ../SPLIT_LIST/COCCO/NW_005178042.1.list
NW_005178042.1 813
NW_005178037.1 2
