GPK93_01g00010	large subunit ribosomal RNA
GPK93_01g00020	small subunit ribosomal RNA
GPK93_01g00030	DUF2463 domain-containing protein
GPK93_01g00040	DUF2463 domain-containing protein
GPK93_01g00050	DUF1609 domain-containing protein
GPK93_01g00060	DUF1609 domain-containing protein
GPK93_01g00070	glutamyl aminopeptidase
GPK93_01g00080	dihydrofolate reductase
GPK93_01g00090	thymidylate synthase
GPK93_01g00100	serine-glycine hydroxymethyltransferase
GPK93_01g00110	ABC transporter
GPK93_01g00120	nucleosome assembly protein
GPK93_01g00130	hypothetical protein
GPK93_01g00140	UBX domain-containing protein
GPK93_01g00150	fructose-bisphosphate aldolase
GPK93_01g00160	DUF866 domain-containing protein
GPK93_01g00170	dynein light chain 1
GPK93_01g00180	hypothetical protein
GPK93_01g00190	hypothetical protein
GPK93_01g00200	hypothetical protein
GPK93_01g00210	ribosomal protein L8
GPK93_01g00220	hypothetical protein
GPK93_01g00230	U3 small nucleolar ribonucleoprotein component Mpp10
GPK93_01g00240	NLI interacting factor-like phosphatase
GPK93_01g00250	SNF2 family N-terminal domain-containing protein
GPK93_01g00260	BRX1 RNA-binding protein
GPK93_01g00270	zuotin
GPK93_01g00280	putative Rcd1-like protein
GPK93_01g00290	putative DMAP1-like protein
GPK93_01g00300	plasma-membrane choline-transporter
GPK93_01g00310	tRNA-Gly
GPK93_01g00320	interaptin-like protein
GPK93_01g00330	hypothetical protein
GPK93_01g00340	hypothetical protein
GPK93_01g00350	hypothetical protein
GPK93_01g00360	DNA repair protein Rad4
GPK93_01g00370	actin
GPK93_01g00380	forkhead domain-containing protein
GPK93_01g00390	ribosomal RNA small subunit methyltransferase NEP1
GPK93_01g00400	hypothetical protein
GPK93_01g00410	MED6 RNA polymerase II transcriptional regulation mediator
GPK93_01g00420	FeS cluster assembly scaffold IscU
GPK93_01g00430	hypothetical protein
GPK93_01g00440	hypothetical protein
GPK93_01g00450	GRASP5/65 PDZ-like domain-containing protein
GPK93_01g00460	RNA-binding protein
GPK93_01g00470	LSM domain-containing protein
GPK93_01g00480	hypothetical protein
GPK93_01g00490	hypothetical protein
GPK93_01g00500	hypothetical protein
GPK93_01g00510	DnaJ domain-containing protein
GPK93_01g00520	hypothetical protein
GPK93_01g00530	ADP-ribosylation factor 6
GPK93_01g00540	DNA-directed RNA polymerase II subunit Rpb3
GPK93_01g00550	WD40 repeat-containing protein
GPK93_01g00560	CID domain-containing protein
GPK93_01g00570	serine/threonine-protein kinase
GPK93_01g00580	DUF5098 domain-containing protein
GPK93_01g00590	phosphoglucomutase
GPK93_01g00600	hypothetical protein
GPK93_01g00610	RNA polymerase II transcription initiation/nucleotide excision repair factor TFIIH subunit TFB2
GPK93_01g00620	thioredoxin reductase
GPK93_01g00630	hypothetical protein
GPK93_01g00640	eukaryotic translation initiation factor 2
GPK93_01g00650	hypothetical protein
GPK93_01g00660	thioredoxin
GPK93_01g00670	uridine kinase
GPK93_01g00680	hypothetical protein
GPK93_01g00690	thymidine kinase
GPK93_01g00700	HRD ubiquitin ligase complex ER membrane protein
GPK93_01g00710	SANT/myb-like domain-containing protein
GPK93_01g00720	hypothetical protein
GPK93_01g00730	tRNA-Ser
GPK93_01g00740	hypothetical protein
GPK93_01g00750	hypothetical protein
GPK93_01g00760	alpha,alpha-trehalose-phosphate synthase
GPK93_01g00770	hypothetical protein
GPK93_01g00780	spore wall and anchoring disk complex protein EnP1
GPK93_01g00790	hypothetical protein
GPK93_01g00800	zinc finger domain-containing protein
GPK93_01g00810	RRM motif-containing protein
GPK93_01g00820	BUD SITE selection protein
GPK93_01g00830	histone acetyltransferase
GPK93_01g00840	trehalose-6-phosphatase
GPK93_01g00850	Ssb domain-containing protein
GPK93_01g00860	E3 SUMO-protein ligase RanBP2
GPK93_01g00870	hypothetical protein
GPK93_01g00880	hypothetical protein
GPK93_01g00890	ribosomal protein S12
GPK93_01g00900	thioredoxin
GPK93_01g00910	ubiquitin conjugating enzyme E2
GPK93_01g00920	hypothetical protein
GPK93_01g00930	helix-turn-helix domain-containing protein
GPK93_01g00940	Tat binding protein 1-interacting protein
GPK93_01g00950	aldo-keto reductase
GPK93_01g00960	hypothetical protein
GPK93_01g00970	WD40 repeat-containing protein
GPK93_01g00980	hypothetical protein
GPK93_01g00990	putative CDP-alcohol phosphatidyltransferase
GPK93_01g01000	ubiquitin conjugating enzyme E2
GPK93_01g01010	hypothetical protein
GPK93_01g01020	hypothetical protein
GPK93_01g01030	general negative regulator of transcription
GPK93_01g01040	hypothetical protein
GPK93_01g01050	DNA repair helicase Rad25
GPK93_01g01060	hypothetical protein
GPK93_01g01070	hypothetical protein
GPK93_01g01080	NOL1/NOL2/sun tRNA/rRNA cytosine-C5-methylase
GPK93_01g01090	hypothetical protein
GPK93_01g01100	ring-box protein 1
GPK93_01g01110	hypothetical protein
GPK93_01g01130	hypothetical protein
GPK93_01g01140	cytochrome B5
GPK93_01g01150	RNA-splicing ligase RtcB
GPK93_01g01160	subtilisin-like serine protease
GPK93_01g01170	hypothetical protein
GPK93_01g01180	Cdk activating kinase-like protein
GPK93_01g01190	chromosome segregation ATPase
GPK93_01g01200	mechanosensitive ion channel protein
GPK93_01g01210	replication factor C protein Rad17
GPK93_01g01220	FeS cluster assembly protein
GPK93_01g01230	SAS N-terminal domain-containing protein
GPK93_01g01240	dynamin
GPK93_01g01250	guanylate kinase
GPK93_01g01260	VCP-like atpase
GPK93_01g01270	mechanosensitive channel protein
GPK93_01g01280	Ca2+-dependent lipid-binding protein
GPK93_01g01290	calcium-binding protein caltractin
GPK93_01g01300	hypothetical protein
GPK93_01g01310	nuclear movement protein
GPK93_01g01320	WD40 repeat-containing protein
GPK93_01g01330	WD40 repeat-containing protein
GPK93_01g01340	frataxin
GPK93_01g01350	protein kinase
GPK93_01g01360	esterase
GPK93_01g01370	transcription initiation factor TFIID subunit TAF9
GPK93_01g01380	hypothetical protein
GPK93_01g01390	putative protein-S-isoprenylcysteine methyltransferase
GPK93_01g01400	snoRNP Gar1 nucleolar protein
GPK93_01g01410	Cdc3-like septin
GPK93_01g01420	hypothetical protein
GPK93_01g01430	glycerophosphoryldiester phosphodiesterase
GPK93_01g01440	chitin synthase 1
GPK93_01g01450	nucleosome assembly protein
GPK93_01g01460	ABC transporter protein
GPK93_01g01470	serine-glycine hydroxymethyltransferase
GPK93_01g01480	thymidylate synthase
GPK93_01g01490	dihydrofolate reductase
GPK93_01g01500	aminopeptidase
GPK93_01g01510	DUF1609 domain-containing protein
GPK93_01g01520	DUF1609 domain-containing protein
GPK93_01g01530	DUF2463 domain-containing protein
GPK93_01g01540	DUF2463 domain-containing protein
GPK93_01g01550	hypothetical protein
GPK93_01g01560	small subunit ribosomal RNA
GPK93_01g01570	large subunit ribosomal RNA
GPK93_02g01580	large subunit ribosomal RNA
GPK93_02g01590	small subunit ribosomal RNA
GPK93_02g01600	hypothetical protein
GPK93_02g01610	DUF1609 domain-containing protein
GPK93_02g01620	DUF2463 domain-containing protein
GPK93_02g01630	DUF2463 domain-containing protein
GPK93_02g01640	heat shock protein 70
GPK93_02g01650	hypothetical protein
GPK93_02g01660	hypothetical protein
GPK93_02g01670	hypothetical protein
GPK93_02g01680	Ran GTPase activating protein
GPK93_02g01690	spore wall protein
GPK93_02g01700	hypothetical protein
GPK93_02g01710	hypothetical protein
GPK93_02g01720	hypothetical protein
GPK93_02g01730	hypothetical protein
GPK93_02g01740	plasmid maintenance protein
GPK93_02g01750	hypothetical protein
GPK93_02g01760	hypothetical protein
GPK93_02g01770	hypothetical protein
GPK93_02g01780	isopentenyl-diphosphate-delta-isomerase II
GPK93_02g01790	hypothetical protein
GPK93_02g01800	component of nucleolar rRNA processing machinery protein Sof1
GPK93_02g01810	polyadenylate-binding protein
GPK93_02g01820	GATA zinc finger protein
GPK93_02g01830	putative alpha-helical pore forming toxin
GPK93_02g01840	hypothetical protein
GPK93_02g01850	replication factor C subunit
GPK93_02g01860	DnaJ domain-containing protein
GPK93_02g01870	hypothetical protein
GPK93_02g01880	hypothetical protein
GPK93_02g01890	E1-E2 ATPase
GPK93_02g01900	20S proteasome subunit
GPK93_02g01910	8TM microsporidial transmembrane domain-containing protein
GPK93_02g01920	hypothetical protein
GPK93_02g01930	Plus-3 domain-containing protein
GPK93_02g01940	hypothetical protein
GPK93_02g01950	hypothetical protein
GPK93_02g01960	hypothetical protein
GPK93_02g01970	hypothetical protein
GPK93_02g01980	Rho Ras-like GTP-binding protein
GPK93_02g01990	SANT/Myb-like DNA-binding domain-containing protein
GPK93_02g02000	hypothetical protein
