### Locus tag	Product description
ECU09_0650	hypothetical protein
ECU07_0430	BOS1-LIKE VESICULAR TRANSPORT PROTEIN
ECU10_0450	hypothetical protein
ECU03_0240	ABC TRANSPORTER
ECU07_0230	hypothetical protein
ECU10_0260	CBFD_NFYB_HMF domain-containing protein
ECU03_1290	Rhodanese domain-containing protein
ECU10_1600	Meiotic nuclear division protein 1
ECU05_0540	FAT domain-containing protein
ECU04_1020	T-complex protein 1 subunit theta
ECU03_1390	ATP-dependent (S)-NAD(P)H-hydrate dehydratase
ECU04_0760	Similarity to PRE-mRNA SPLICING FACTOR PRP8
ECU02_0040	hypothetical protein
ECU04_1670	UPF0329 protein ECU04_1670
ECU07_1640	26S proteasome regulatory subunit 4 homolog
ECU06_1450	CDC50-LIKE PROTEIN
ECU02_0070	UPF0328 protein ECU02_0070
ECU07_0140	Similarity to GCN1-LIKE TRANSLATIONAL ACTIVATOR
ECU01_0460	Actin
ECU09_0700	WW domain-containing protein
ECU04_0540	hypothetical protein
ECU07_1680	N-acetyltransferase domain-containing protein
ECU06_1020	MYB-LIKE TRANSCRIPTION FACTOR
ECU03_0930	UBA_e1_C domain-containing protein
ECU11_0180	Probable dual specificity protein kinase YAK1 homolog
ECU03_0610	Homeobox protein HD-7
ECU08_0265	ECU08_0265 protein
ECU05_0400	ACTIN-RELATED PROTEIN
ECU07_1070	similarity to HYPOTHETICAL PROTEIN YXIF_BACSU
ECU08_0980	hypothetical protein
ECU09_0575	ECU09_0575 protein
ECU11_1210	Spore wall protein 7
ECU08_0850	Poly(A)-specific ribonuclease
ECU07_1500	CATION-TRANSPORTING ATPase
ECU02_0150	Spore wall protein ECU02_0150
ECU10_0090	ADP-ribosylation factor
ECU11_0010	UPF0329 protein ECU03_0030/ECU05_0040/ECU06_0010/ECU06_1710/ECU11_0010
ECU08_0120	Zinc finger and GTP binding domains
ECU01_0740	Thymidine kinase
ECU11_1650	SUI1 domain-containing protein
ECU05_0200	zinc_ribbon_15 domain-containing protein
ECU03_1400	TPR_REGION domain-containing protein
ECU02_0290	AAA domain-containing protein
ECU04_0890	PseudoU_synth_1 domain-containing protein
ECU02_0680	AAA domain-containing protein
ECU01_1170	hypothetical protein
ECU07_1700	S5 DRBM domain-containing protein
ECU09_1420	U2 snRNP AUXILIARY FACTOR SMALL SUBUNIT (SPLICING FACTOR U2AF)
ECU06_1690	UPF0328 protein ECU06_0030/ECU06_1690/ECU11_0020
ECU04_0440	hypothetical protein
