
GenomeNet icon	
LinkDB Search


Mode: Single Entry to Database
From: KEGG GENOME T02695
To: KEGG GENES
Hits: 10123 from 1 database
ID                   Definition
----------------------------------------------------------------------------------------------------
mis:MICPUN_100000    ASN2; asparagine synthase; K01953 asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4] 
mis:MICPUN_100006    hypothetical protein 
mis:MICPUN_100008    hypothetical protein 
mis:MICPUN_100010    hypothetical protein 
mis:MICPUN_100012    hypothetical protein 
mis:MICPUN_100013    hypothetical protein 
mis:MICPUN_100015    hypothetical protein 
mis:MICPUN_100022    hypothetical protein 
mis:MICPUN_100023    hypothetical protein 
mis:MICPUN_100026    hypothetical protein 
mis:MICPUN_100032    hypothetical protein 
mis:MICPUN_100034    hypothetical protein; K01082 3'(2'), 5'-bisphosphate nucleotidase [EC:3.1.3.7] 
mis:MICPUN_100035    hypothetical protein 
mis:MICPUN_100036    hypothetical protein 
mis:MICPUN_100038    hypothetical protein 
mis:MICPUN_100039    hypothetical protein 
mis:MICPUN_100042    hypothetical protein 
mis:MICPUN_100046    hypothetical protein 
mis:MICPUN_100055    hypothetical protein; K15151 mediator of RNA polymerase II transcription subunit 10 
mis:MICPUN_100058    hypothetical protein 
mis:MICPUN_100065    hypothetical protein 
mis:MICPUN_100066    set domain protein; K11348 bromodomain and PHD finger-containing protein 1 
mis:MICPUN_100068    hypothetical protein 
mis:MICPUN_100080    hypothetical protein 
mis:MICPUN_100095    hypothetical protein 
mis:MICPUN_100107    ATP-binding cassette superfamily 
mis:MICPUN_100110    hypothetical protein 
mis:MICPUN_100113    hypothetical protein 
mis:MICPUN_100138    hypothetical protein 
mis:MICPUN_100143    hypothetical protein 
mis:MICPUN_100145    hypothetical protein 
mis:MICPUN_100150    hypothetical protein; K03086 RNA polymerase primary sigma factor 
mis:MICPUN_100158    hypothetical protein; K00873 pyruvate kinase [EC:2.7.1.40] 
mis:MICPUN_100159    hypothetical protein 
mis:MICPUN_100163    hypothetical protein 
mis:MICPUN_100164    hypothetical protein 
mis:MICPUN_100170    hypothetical protein 
mis:MICPUN_100173    hypothetical protein 
mis:MICPUN_100192    bardet-biedl syndrome 7; K16749 Bardet-Biedl syndrome 7 protein 
mis:MICPUN_100205    hypothetical protein 
mis:MICPUN_100207    hypothetical protein 
mis:MICPUN_100232    hypothetical protein 
mis:MICPUN_100261    hypothetical protein 
mis:MICPUN_100269    zinc permease family; K14713 solute carrier family 39 (zinc transporter), member 7 
mis:MICPUN_100280    MBO2; coiled-coil flagellar protein 
mis:MICPUN_100289    mitochondrial carrier family; K15109 solute carrier family 25 (mitochondrial carnitine/acylcarnitine 
mis:MICPUN_100292    major facilitator superfamily; K08175 MFS transporter, FHS family, Na+ dependent glucose transporter 
mis:MICPUN_100333    hypothetical protein 
mis:MICPUN_100340    hypothetical protein 
mis:MICPUN_100355    hypothetical protein 
mis:MICPUN_100357    hypothetical protein 
mis:MICPUN_100375    calcium-dependent cytoplasmic cysteine proteinase, papain-like protein 
mis:MICPUN_100377    hypothetical protein 
mis:MICPUN_100383    hypothetical protein 
mis:MICPUN_100385    hypothetical protein; K00286 pyrroline-5-carboxylate reductase [EC:1.5.1.2] 
mis:MICPUN_100403    hypothetical protein 
mis:MICPUN_100411    hypothetical protein 
mis:MICPUN_100418    hypothetical protein 
mis:MICPUN_100422    hypothetical protein 
mis:MICPUN_100424    IRE1; Endoribonuclease/protein kinase; K08852 serine/threonine-protein kinase/endoribonuclease IRE1  
mis:MICPUN_100428    hypothetical protein 
mis:MICPUN_100432    hypothetical protein 
mis:MICPUN_100436    hypothetical protein 
mis:MICPUN_100441    hypothetical protein 
mis:MICPUN_100443    hypothetical protein 
mis:MICPUN_100449    glycosyltransferase family 4 protein 
mis:MICPUN_100451    hypothetical protein 
mis:MICPUN_100468    hypothetical protein 
mis:MICPUN_100470    hypothetical protein; K14317 nuclear pore complex protein Nup214 
mis:MICPUN_100477    hypothetical protein 
mis:MICPUN_100480    hypothetical protein 
mis:MICPUN_100485    hypothetical protein 
mis:MICPUN_100488    major facilitator superfamily 
mis:MICPUN_100497    hypothetical protein 
mis:MICPUN_100502    hypothetical protein 
mis:MICPUN_100506    hypothetical protein 
mis:MICPUN_100528    hypothetical protein 
mis:MICPUN_100532    hypothetical protein 
mis:MICPUN_100534    hypothetical protein 
mis:MICPUN_100535    hypothetical protein 
mis:MICPUN_100547    hypothetical protein; K07071 
mis:MICPUN_100548    hypothetical protein 
mis:MICPUN_100558    hypothetical protein; K03265 peptide chain release factor subunit 1 
mis:MICPUN_100573    hypothetical protein 
mis:MICPUN_100575    hypothetical protein 
mis:MICPUN_100576    hypothetical protein 
mis:MICPUN_100589    hypothetical protein; K13220 WW domain-binding protein 4 
mis:MICPUN_100598    hypothetical protein; K09549 prefoldin subunit 2 
mis:MICPUN_100603    hypothetical protein; K03861 phosphatidylinositol glycan, class P 
mis:MICPUN_100605    ubiquinol:cytochrome c oxidoreductase 14 kDa subunit-containing protein 
mis:MICPUN_100607    adenylate kinase; K00939 adenylate kinase [EC:2.7.4.3] 
mis:MICPUN_100609    histone deacetylase 
mis:MICPUN_100624    hypothetical protein 
mis:MICPUN_100625    hypothetical protein 
mis:MICPUN_100629    voltage-gated ion channel superfamily 
mis:MICPUN_100633    hypothetical protein 
mis:MICPUN_100636    hypothetical protein 
mis:MICPUN_100639    hypothetical protein 
mis:MICPUN_100642    hypothetical protein 
mis:MICPUN_100657    hypothetical protein 
mis:MICPUN_100666    Drug/Metabolite transporter superfamily; K15285 solute carrier family 35, member E3 
mis:MICPUN_100667    hypothetical protein 
mis:MICPUN_100675    hypothetical protein 
mis:MICPUN_100676    hypothetical protein 
mis:MICPUN_100682    major facilitator superfamily 
