Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q8SW28	1433_ENCCU	reviewed	14-3-3 protein homolog	ECU03_1010	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	258
Q8SQI1	3MG_ENCCU	reviewed	Probable DNA-3-methyladenine glycosylase (EC 3.2.2.21) (3-methyladenine DNA glycosidase)	ECU05_1590; ECU11_0140	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	208
Q8SQI5	ABC1_ENCCU	reviewed	Probable ABC transporter ECU01_0200/ECU01_1410	ECU01_0200; ECU01_1410	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	596
Q8SRV5	ABCF3_ENCCU	reviewed	Probable ATP-binding cassette sub-family F member 3 homolog	ECU05_1190	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	554
Q8SWN8	ACT_ENCCU	reviewed	Actin	ECU01_0460	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	375
Q8SV19	ADRX_ENCCU	reviewed	Adrenodoxin homolog (Ferredoxin)	ECU07_0600	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	128
Q8SSL7	AGM1_ENCCU	reviewed	Probable phosphoacetylglucosamine mutase (PAGM) (EC 5.4.2.3) (Acetylglucosamine phosphomutase) (N-acetylglucosamine-phosphate mutase)	PCM1 ECU01_0650	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	530
Q8SSK6	ALDR_ENCCU	reviewed	Aldose reductase (AR) (EC 1.1.1.21) (Aldehyde reductase)	ECU01_0970	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	301
Q8SSM8	ALF_ENCCU	reviewed	Fructose-bisphosphate aldolase (EC 4.1.2.13)	ECU01_0240	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	338
Q8SQI6	AMP11_ENCCU	reviewed	Probable M1 family aminopeptidase 1 (EC 3.4.11.-)	ECU01_0140; ECU01_1470	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	864
Q8SRG3	AMP12_ENCCU	reviewed	Probable M1 family aminopeptidase 2 (EC 3.4.11.-)	ECU08_0070	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	864
Q8SQZ7	AMPL_ENCCU	reviewed	Cytosol aminopeptidase (EC 3.4.11.1) (Leucine aminopeptidase) (LAP) (Leucyl aminopeptidase) (Proline aminopeptidase) (EC 3.4.11.5) (Prolyl aminopeptidase)	ECU10_1770i	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	486
Q8SR45	AMPM2_ENCCU	reviewed	Methionine aminopeptidase 2 (MAP-2) (MetAP 2) (EC 3.4.11.18) (Peptidase M 2)	MAP2 ECU10_0750	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	358
Q8SRK2	AQP_ENCCU	reviewed	Aquaporin	AQP ECU07_0740	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	250
