
GenomeNet icon	
LinkDB Search


Mode: Single Entry to Database
From: KEGG GENOME T01029
To: KEGG GENES
Hits: 7603 from 1 database
ID                   Definition
----------------------------------------------------------------------------------------------------
olu:OSTLU_10027      hypothetical protein 
olu:OSTLU_10028      ABC(ABCD) family transporter: long-chain fatty acid; K05677 ATP-binding cassette, subfamily D (ALD), 
olu:OSTLU_10034      hypothetical protein 
olu:OSTLU_10035      hypothetical protein; K01354 oligopeptidase B [EC:3.4.21.83] 
olu:OSTLU_10064      hypothetical protein 
olu:OSTLU_10071      ABC(ATP-binding) family transporter (Uup-like protein/duplicated ATPase) 
olu:OSTLU_10093      hypothetical protein 
olu:OSTLU_10107      hypothetical protein 
olu:OSTLU_10111      hypothetical protein 
olu:OSTLU_10119      hypothetical protein 
olu:OSTLU_10137      HAAAP family transporter: tyrosine/tryptophan; K03834 tyrosine-specific transport protein 
olu:OSTLU_10143      hypothetical protein; K02495 oxygen-independent coproporphyrinogen III oxidase [EC:1.3.99.22] 
olu:OSTLU_10147      ABC(membrane) family transporter (Fe-S assembly/SufBCD system); K09015 Fe-S cluster assembly protein 
olu:OSTLU_10150      hypothetical protein; K10393 kinesin family member 2/24 
olu:OSTLU_10153      hypothetical protein 
olu:OSTLU_10175      hypothetical protein 
olu:OSTLU_10191      hypothetical protein 
olu:OSTLU_10204      hypothetical protein; K00641 homoserine O-acetyltransferase [EC:2.3.1.31] 
olu:OSTLU_10211      hypothetical protein 
olu:OSTLU_10242      hypothetical protein; K06917 tRNA 2-selenouridine synthase [EC:2.9.1.-] 
olu:OSTLU_10245      hypothetical protein 
olu:OSTLU_10246      hypothetical protein 
olu:OSTLU_10250      hypothetical protein 
olu:OSTLU_10263      hypothetical protein; K00872 homoserine kinase [EC:2.7.1.39] 
olu:OSTLU_10269      hypothetical protein 
olu:OSTLU_10299      hypothetical protein 
olu:OSTLU_10308      hypothetical protein; K03438 16S rRNA (cytosine1402-N4)-methyltransferase [EC:2.1.1.199] 
olu:OSTLU_10314      hypothetical protein 
olu:OSTLU_10319      hypothetical protein 
olu:OSTLU_10320      hypothetical protein; K02535 UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase [EC:3.5.1. 
olu:OSTLU_10321      hypothetical protein 
olu:OSTLU_10348      hypothetical protein 
olu:OSTLU_10356      hypothetical protein 
olu:OSTLU_10367      hypothetical protein 
olu:OSTLU_10376      hypothetical protein; K06182 23S rRNA pseudouridine2604 synthase [EC:5.4.99.21] 
olu:OSTLU_10386      hypothetical protein 
olu:OSTLU_10396      hypothetical protein 
olu:OSTLU_10404      HslV; ClpYQ (HslUV)-type protease, proteolytic subunit HSLV (ClpQ); K01419 ATP-dependent HslUV prote 
olu:OSTLU_10418      hypothetical protein; K07304 peptide-methionine (S)-S-oxide reductase [EC:1.8.4.11] 
olu:OSTLU_10425      hypothetical protein; K01495 GTP cyclohydrolase I [EC:3.5.4.16] 
olu:OSTLU_10432      CCDA; hypothetical protein; K06196 cytochrome c-type biogenesis protein 
olu:OSTLU_10444      hypothetical protein 
olu:OSTLU_10461      hypothetical protein; K01764 cytochrome c heme-lyase [EC:4.4.1.17] 
olu:OSTLU_10480      hypothetical protein 
olu:OSTLU_10487      hypothetical protein; K00236 succinate dehydrogenase (ubiquinone) cytochrome b560 subunit 
olu:OSTLU_10503      hypothetical protein; K00891 shikimate kinase [EC:2.7.1.71] 
olu:OSTLU_10507      hypothetical protein 
olu:OSTLU_10510      hypothetical protein; K14404 cleavage and polyadenylation specificity factor subunit 4 
olu:OSTLU_10513      hypothetical protein; K06268 serine/threonine-protein phosphatase 2B regulatory subunit 
olu:OSTLU_10514      hypothetical protein 
olu:OSTLU_10519      hypothetical protein 
olu:OSTLU_10530      hypothetical protein 
olu:OSTLU_10537      hypothetical protein 
olu:OSTLU_10538      hypothetical protein 
olu:OSTLU_10544      hypothetical protein 
olu:OSTLU_10549      hypothetical protein; K10578 ubiquitin-conjugating enzyme E2 J1 [EC:6.3.2.19] 
olu:OSTLU_10568      hypothetical protein 
olu:OSTLU_10571      hypothetical protein 
olu:OSTLU_10572      hypothetical protein 
olu:OSTLU_10574      hypothetical protein 
olu:OSTLU_10581      hypothetical protein 
olu:OSTLU_10584      hypothetical protein 
olu:OSTLU_10585      hypothetical protein 
olu:OSTLU_10587      hypothetical protein 
olu:OSTLU_10590      hypothetical protein; K12873 bud site selection protein 31 
olu:OSTLU_10591      hypothetical protein 
olu:OSTLU_10601      hypothetical protein; K03105 signal recognition particle subunit SRP19 
olu:OSTLU_10629      hypothetical protein 
olu:OSTLU_10630      hypothetical protein 
