AEWD_010010	serine hydroxymethyltransferase
AEWD_010020	mitochondrial ABC transporter
AEWD_010030	hypothetical protein
AEWD_010040	hypothetical protein
AEWD_010050	hypothetical protein
AEWD_010060	fructose-1,6-bisphosphate aldolase
AEWD_010070	hypothetical protein
AEWD_010080	dynein light chain-like protein
AEWD_010090	hypothetical protein
AEWD_010100	hypothetical protein
AEWD_010110	hypothetical protein
AEWD_010120	60S ribosomal protein L2P
AEWD_010130	hypothetical protein
AEWD_010140	U3 small nucleolar ribonucleoprotein component
AEWD_010150	hypothetical protein
AEWD_010160	DEAD-like helicase
AEWD_010170	60S ribosomal subunit biogenesis RNA-binding protein
AEWD_010180	zuotin-like protein
AEWD_010190	cell differentiation protein rcd1
AEWD_010200	hypothetical protein
AEWD_010210	hypothetical protein
AEWD_010230	hypothetical protein
AEWD_010240	hypothetical protein
AEWD_010250	cleavage and polyadenylation specificity factor subunit Clipper
AEWD_010260	hypothetical protein
AEWD_010270	DNA repair protein RAD4
AEWD_010280	actin
AEWD_010290	forkhead/HNF3 transcription factor
AEWD_010300	40S ribosomal biogenesis protein
AEWD_010310	hypothetical protein
AEWD_010320	RNA polymerase II transcriptional regulation mediator
AEWD_010330	Fe-S cluster assembly protein IscU
AEWD_010340	hypothetical protein
AEWD_010350	peripheral Golgi membrane protein
AEWD_010360	putative RNA-binding protein
AEWD_010370	small nuclear ribonucleoprotein
AEWD_010380	hypothetical protein
AEWD_010390	hypothetical protein
AEWD_010400	hypothetical protein
AEWD_010410	hypothetical protein
AEWD_010420	hypothetical protein
AEWD_010430	DNA-directed RNA polymerase I
AEWD_010440	hypothetical protein
AEWD_010450	hypothetical protein
AEWD_010460	serine/threonine protein kinase
AEWD_010470	hypothetical protein
AEWD_010480	phosphoacetylglucosamine mutase
AEWD_010490	RNA polymerase II transcription initiation/nucleotide excision repair factor TFIIH subunit TFB2
AEWD_010500	thioredoxin reductase-like protein
AEWD_010510	hypothetical protein
AEWD_010520	eukaryotic translation initiation factor 2 subunit gamma
AEWD_010530	hypothetical protein
AEWD_010540	thioredoxin
AEWD_010550	hypothetical protein
AEWD_010560	thymidine kinase
