Q#7 - >GPK93_01g00090	specific	238211	11	245	5.38741e-110	317.296	cd00351	TS_Pyrimidine_HMase	 - 	cl19097	Thymidylate synthase and pyrimidine hydroxymethylase: Thymidylate synthase (TS) and deoxycytidylate hydroxymethylase (dCMP-HMase) are homologs that catalyze analogous alkylation of C5 of pyrimidine nucleotides. Both enzymes are involved in the biosynthesis of DNA precursors and are active as homodimers. However, they exhibit distinct pyrimidine base specificities and differ in the details of their catalyzed reactions. TS is biologically ubiquitous and catalyzes the conversion of dUMP and methylene-tetrahydrofolate (CH2THF) to dTMP and dihydrofolate (DHF). It also acts as a regulator of its own expression by binding and inactivating its own RNA. Due to its key role in the de novo pathway for thymidylate synthesis and, hence, DNA synthesis, it is one of the most conserved enzymes across species and phyla. TS is a well-recognized target for anticancer chemotherapy, as well as a valuable new target against infectious diseases. Interestingly, in several protozoa, a single polypeptide chain codes for both, dihydrofolate reductase (DHFR) and thymidylate synthase (TS), forming a bifunctional enzyme (DHFR-TS), possibly through gene fusion at a single evolutionary point. DHFR-TS is also active as a dimer. Virus encoded dCMP-HMase catalyzes the reversible conversion of dCMP and CH2THF to hydroxymethyl-dCMP and THF. This family also includes dUMP hydroxymethylase, which is encoded by several bacteriophages that infect Bacillus subtilis, for their own protection against the host restriction system,  and contain hydroxymethyl-dUMP instead of dTMP in their DNA.
Q#8 - >GPK93_01g00100	non-specific	240264	13	457	0	622.388	PTZ00094	PTZ00094	 - 	cl30209	serine hydroxymethyltransferase; Provisional
Q#8 - >GPK93_01g00100	superfamily	240264	13	457	0	622.388	cl30209	PTZ00094 superfamily	 - 	 - 	serine hydroxymethyltransferase; Provisional
Q#8 - >GPK93_01g00100	non-specific	215639	13	457	0	604.667	PLN03226	PLN03226	 - 	cl18945	serine hydroxymethyltransferase; Provisional
Q#8 - >GPK93_01g00100	non-specific	395372	14	406	0	561.292	pfam00464	SHMT	 - 	cl18945	Serine hydroxymethyltransferase. 
Q#8 - >GPK93_01g00100	specific	223190	13	459	0	548.732	COG0112	GlyA	 - 	cl42521	Glycine/serine hydroxymethyltransferase [Amino acid transport and metabolism]. 
Q#8 - >GPK93_01g00100	superfamily	223190	13	459	0	548.732	cl42521	GlyA superfamily	 - 	 - 	Glycine/serine hydroxymethyltransferase [Amino acid transport and metabolism]. 
Q#8 - >GPK93_01g00100	specific	99733	15	411	0	518.296	cd00378	SHMT	 - 	cl18945	Serine-glycine hydroxymethyltransferase (SHMT). This family belongs to pyridoxal phosphate (PLP)-dependent aspartate aminotransferase superfamily (fold I). SHMT carries out interconversion of serine and glycine; it catalyzes the transfer of hydroxymethyl group of N5, N10-methylene tetrahydrofolate to glycine resulting in the formation of serine and tetrahydrofolate. Both eukaryotic and prokaryotic SHMT enzymes form tight obligate homodimers; the mammalian enzyme forms a homotetramer comprising four pyridoxal phosphate-bound active sites.
Q#8 - >GPK93_01g00100	non-specific	234571	15	459	1.9367e-174	495.365	PRK00011	glyA	 - 	cl18945	serine hydroxymethyltransferase; Reviewed
Q#8 - >GPK93_01g00100	non-specific	215153	13	393	2.37128e-155	453.107	PLN02271	PLN02271	N	cl30210	serine hydroxymethyltransferase
Q#8 - >GPK93_01g00100	superfamily	215153	13	393	2.37128e-155	453.107	cl30210	PLN02271 superfamily	N	 - 	serine hydroxymethyltransferase
