### Query	Predictor	RCSB Code	Chain	sTMscore	TMscore	Dali_Z	SPscore	Length	RMSD	Seq_Id

### ECU01_0010
ECU01_0010-m1	ALPHAFOLD	3SOK	B	0.411	0.426	3.17	0.478	98	3.839	5.1
ECU01_0010-m1	ALPHAFOLD	5IW9	A	0.364	0.312	2.43	0.453	64	3.071	7.8
ECU01_0010-m1	ALPHAFOLD	3SOK	A	0.397	0.421	2.29	0.429	102	4.283	6.9
ECU01_0010-m1	ALPHAFOLD	3EMO	B	0.437	0.379	1.82	0.495	86	3.857	8.1
ECU01_0010-m1	ALPHAFOLD	3EMO	A	0.440	0.381	2.51	0.509	85	3.674	7.1

### ECU01_0020
ECU01_0020-m1	ALPHAFOLD	3ZCJ	F	0.365	0.270	1.50	0.433	91	4.064	11.0
ECU01_0020-m1	ALPHAFOLD	6FPD	A	0.367	0.321	2.41	0.469	98	3.738	3.1
ECU01_0020-m1	RAPTORX	5XNM	4	0.297	0.296	-0.19	0.302	110	4.866	4.5
ECU01_0020-m1	RAPTORX	5XNL	8	0.297	0.295	-0.21	0.304	109	4.830	4.6
ECU01_0020-m1	RAPTORX	5XNL	4	0.297	0.295	-0.21	0.304	109	4.830	4.6
ECU01_0020-m1	RAPTORX	5XNN	4	0.297	0.295	-0.21	0.304	109	4.830	4.6
ECU01_0020-m1	ALPHAFOLD	3ZCJ	C	0.344	0.283	1.22	0.423	95	4.200	10.5
ECU01_0020-m1	RAPTORX	5ZGB	3	0.319	0.255	-0.59	0.292	100	4.906	10.0
ECU01_0020-m1	ALPHAFOLD	3ZCI	A	0.324	0.323	0.50	0.373	106	4.408	13.2
ECU01_0020-m1	ALPHAFOLD	3ZCJ	B	0.332	0.306	1.62	0.432	100	4.170	12.0

### ECU01_0030
ECU01_0030-m1	RAPTORX	4G6V	D	0.628	0.527	7.54	0.713	71	1.917	14.1
ECU01_0030-m1	RAPTORX	4G6V	B	0.628	0.527	7.55	0.713	71	1.917	14.1
ECU01_0030-m1	RAPTORX	4G6V	F	0.621	0.514	6.98	0.690	72	2.274	13.9
ECU01_0030-m1	RAPTORX	4G6V	H	0.620	0.514	6.98	0.689	72	2.273	13.9
ECU01_0030-m1	ALPHAFOLD	6E1F	D	0.266	0.257	-1.35	0.295	61	4.328	1.6
ECU01_0030-m1	ALPHAFOLD	6L9J	B	0.300	0.262	-0.20	0.321	54	3.773	9.3
ECU01_0030-m1	ALPHAFOLD	6L9J	H	0.301	0.279	0.24	0.322	62	4.205	8.1
ECU01_0030-m1	ALPHAFOLD	6L9J	I	0.310	0.267	-0.86	0.310	60	4.301	6.7
ECU01_0030-m1	ALPHAFOLD	6L9J	E	0.305	0.283	-0.03	0.326	59	3.982	10.2
ECU01_0030-m1	RAPTORX	2AYG	A	0.397	0.311	1.95	0.439	58	3.349	1.7

### ECU01_0060
ECU01_0060-m1	ALPHAFOLD	7NMM	F	0.392	0.354	-0.56	0.395	64	3.917	4.7
ECU01_0060-m1	ALPHAFOLD	7NMM	C	0.411	0.366	-0.56	0.408	68	3.997	5.9
ECU01_0060-m1	ALPHAFOLD	6R8M	E	0.427	0.343	1.65	0.408	62	3.539	9.7
ECU01_0060-m1	ALPHAFOLD	5ZNE	A	0.403	0.346	-1.59	0.399	72	4.167	15.3
ECU01_0060-m1	ALPHAFOLD	1P8G	A	0.363	0.411	-2.02	0.070	75	4.331	10.7
ECU01_0060-m1	RAPTORX	3ZIG	B	0.256	0.269	-1.33	0.309	49	4.110	10.2
ECU01_0060-m1	RAPTORX	4ADZ	B	0.271	0.286	-0.07	0.307	43	3.358	4.7
ECU01_0060-m1	RAPTORX	2MME	b	0.254	0.296	-1.23	0.111	43	3.281	11.6
ECU01_0060-m1	RAPTORX	2MME	G	0.239	0.269	-1.32	0.104	35	2.733	11.4
ECU01_0060-m1	RAPTORX	2MME	Y	0.253	0.295	-1.23	0.110	43	3.288	11.6

### ECU01_0070
ECU01_0070-m1	RAPTORX	6G2J	N	0.595	0.632	13.17	0.708	184	2.760	10.9
ECU01_0070-m1	RAPTORX	5LUF	N	0.576	0.605	12.18	0.707	175	2.549	0.0
ECU01_0070-m1	RAPTORX	4UQ8	N	0.576	0.605	12.18	0.707	175	2.549	0.0
ECU01_0070-m1	RAPTORX	5LNK	N	0.595	0.629	12.60	0.694	186	3.050	9.1
ECU01_0070-m1	RAPTORX	6G72	N	0.593	0.629	12.88	0.707	183	2.684	10.9
ECU01_0070-m1	ALPHAFOLD	4BG0	A	0.431	0.386	5.13	0.449	135	3.900	6.7
ECU01_0070-m1	ALPHAFOLD	4CBE	A	0.426	0.388	4.98	0.441	136	3.946	7.4
ECU01_0070-m1	ALPHAFOLD	1R0D	F	0.427	0.344	4.57	0.439	120	3.722	6.7
ECU01_0070-m1	ALPHAFOLD	1R0D	E	0.426	0.344	4.57	0.437	120	3.711	6.7
ECU01_0070-m1	ALPHAFOLD	1R0D	B	0.430	0.345	4.55	0.440	120	3.691	6.7

### ECU01_0080
ECU01_0080-m1	RAPTORX	4U3J	C	0.632	0.509	10.55	0.683	214	3.588	6.1
ECU01_0080-m1	RAPTORX	2QK1	A	0.598	0.493	9.20	0.644	212	3.773	6.6
ECU01_0080-m1	RAPTORX	6MQ7	B	0.631	0.506	12.15	0.668	212	3.382	8.0
ECU01_0080-m1	RAPTORX	3WOY	A	0.618	0.499	12.22	0.647	214	3.670	7.9
ECU01_0080-m1	RAPTORX	4K92	B	0.601	0.481	11.10	0.611	211	3.686	8.1

### ECU01_0090
ECU01_0090-m1	RAPTORX	6G2J	N	0.585	0.628	14.88	0.789	191	2.171	9.4
ECU01_0090-m1	RAPTORX	5XTD	i	0.591	0.624	15.00	0.786	189	2.212	10.6
ECU01_0090-m1	RAPTORX	5XTC	i	0.591	0.624	15.00	0.786	189	2.212	10.6
ECU01_0090-m1	RAPTORX	6G72	N	0.586	0.622	14.37	0.778	189	2.117	9.5
ECU01_0090-m1	RAPTORX	4UQ8	N	0.567	0.611	12.82	0.751	189	2.446	0.0
ECU01_0090-m1	ALPHAFOLD	4BG0	A	0.443	0.359	5.30	0.454	136	3.849	5.9
ECU01_0090-m1	ALPHAFOLD	3MAC	A	0.458	0.349	3.53	0.378	152	4.690	8.6
ECU01_0090-m1	ALPHAFOLD	3O40	A	0.434	0.358	2.26	0.364	157	4.923	6.4
ECU01_0090-m1	ALPHAFOLD	2XRA	A	0.442	0.363	4.58	0.417	147	4.138	6.8
ECU01_0090-m1	ALPHAFOLD	1R0D	I	0.442	0.330	4.17	0.414	131	4.101	4.6

### ECU01_0100
ECU01_0100-m1	RAPTORX	1CII	A	0.569	0.559	13.69	0.752	403	3.803	6.5

### ECU01_0110
ECU01_0110-m1	RAPTORX	1CII	A	0.559	0.565	14.12	0.838	377	3.154	8.5

### ECU01_0120
ECU01_0120-m1	RAPTORX	3TCV	A	0.416	0.449	7.70	0.658	97	2.082	8.2
ECU01_0120-m1	RAPTORX	3TCV	B	0.407	0.451	7.59	0.658	98	2.142	8.2
ECU01_0120-m1	RAPTORX	3R96	B	0.386	0.393	4.92	0.544	99	3.369	9.1
ECU01_0120-m1	RAPTORX	3R9G	B	0.386	0.397	5.15	0.554	99	3.270	9.1
ECU01_0120-m1	RAPTORX	1S7L	A	0.381	0.398	5.15	0.552	98	3.265	8.2
ECU01_0120-m1	ALPHAFOLD	1YOC	A	0.310	0.264	0.47	0.316	80	4.327	6.2
ECU01_0120-m1	ALPHAFOLD	4QDA	A	0.394	0.314	1.34	0.393	92	4.221	5.4
ECU01_0120-m1	ALPHAFOLD	4QDA	D	0.368	0.292	0.92	0.367	86	3.919	5.8
ECU01_0120-m1	ALPHAFOLD	1YOC	B	0.295	0.258	0.41	0.316	76	4.175	6.6
ECU01_0120-m1	ALPHAFOLD	4KF5	B	0.308	0.351	1.32	0.309	114	4.982	6.1

### ECU01_0130
ECU01_0130-m1	RAPTORX	5MFF	D	0.641	0.546	15.76	0.702	248	3.435	8.1
ECU01_0130-m1	RAPTORX	5MFF	B	0.640	0.542	14.27	0.699	246	3.510	8.9
ECU01_0130-m1	RAPTORX	5MFF	A	0.630	0.543	15.49	0.685	249	3.586	8.0
ECU01_0130-m1	RAPTORX	4PLQ	A	0.636	0.543	15.00	0.700	247	3.501	7.3
ECU01_0130-m1	RAPTORX	5AEI	B	0.623	0.548	15.05	0.678	252	3.613	8.3

### ECU01_0140
ECU01_0140-m1	RAPTORX	3SE6	A	0.929	0.951	52.23	1.884	828	0.987	28.3
ECU01_0140-m1	RAPTORX	3SE6	B	0.927	0.945	52.56	1.885	821	0.824	28.3
ECU01_0140-m1	RAPTORX	4E36	A	0.929	0.951	51.30	1.879	828	0.996	28.1
ECU01_0140-m1	RAPTORX	4E36	B	0.925	0.945	51.59	1.880	821	0.835	28.1
ECU01_0140-m1	RAPTORX	4JBS	A	0.928	0.950	50.55	1.869	828	1.043	28.1
ECU01_0140-m1	ALPHAFOLD	4KX7	A	0.870	0.917	41.60	1.602	818	1.904	28.2
ECU01_0140-m1	ALPHAFOLD	4KXA	A	0.868	0.917	41.66	1.605	818	1.891	28.4
ECU01_0140-m1	ALPHAFOLD	4KXB	A	0.874	0.920	41.97	1.610	820	1.862	28.3
ECU01_0140-m1	ALPHAFOLD	4KX9	A	0.870	0.916	41.56	1.602	818	1.916	28.4
ECU01_0140-m1	ALPHAFOLD	4KXC	A	0.869	0.918	41.56	1.593	821	2.010	28.3

### ECU01_0170
ECU01_0170-m1	RAPTORX	3VCO	A	0.901	0.840	30.17	1.146	174	0.584	37.9
ECU01_0170-m1	RAPTORX	1KMS	A	0.764	0.763	21.70	0.943	177	2.290	30.5
ECU01_0170-m1	ALPHAFOLD	1DIU	A	0.641	0.704	2.98	0.207	159	2.164	23.9
ECU01_0170-m1	ALPHAFOLD	3DFR	A	0.795	0.694	19.77	0.926	159	2.157	22.6
ECU01_0170-m1	ALPHAFOLD	1DIS	A	0.813	0.704	20.92	0.946	159	1.966	23.9
ECU01_0170-m1	ALPHAFOLD	4GH8	A	0.829	0.698	20.93	0.930	159	2.021	32.7
ECU01_0170-m1	ALPHAFOLD	4KJL	A	0.444	0.603	1.06	0.524	163	3.936	22.1
ECU01_0170-m1	RAPTORX	1KMV	A	0.759	0.753	21.28	0.931	175	2.260	28.6
ECU01_0170-m1	RAPTORX	4DDR	A	0.765	0.752	21.29	0.928	176	2.348	30.7
ECU01_0170-m1	RAPTORX	5HVE	A	0.747	0.754	21.15	0.921	176	2.357	30.7

### ECU01_0180
ECU01_0180-m1	RAPTORX	5X67	A	0.941	0.957	43.30	1.380	285	0.735	60.0
ECU01_0180-m1	RAPTORX	6OJU	D	0.952	0.952	42.90	1.375	284	0.756	59.9
ECU01_0180-m1	RAPTORX	5FCT	B	0.914	0.965	42.38	1.348	289	0.894	60.6
ECU01_0180-m1	RAPTORX	6OJU	A	0.946	0.952	42.80	1.374	284	0.764	59.9
ECU01_0180-m1	RAPTORX	5FCT	A	0.881	0.961	42.14	1.344	288	0.934	60.4
ECU01_0180-m1	ALPHAFOLD	6OJU	A	0.954	0.952	44.56	1.378	284	0.818	59.9
ECU01_0180-m1	ALPHAFOLD	6F6Z	B	0.963	0.957	44.68	1.377	286	0.872	60.8
ECU01_0180-m1	ALPHAFOLD	6OJU	D	0.953	0.952	44.68	1.379	284	0.820	59.9
