### Contig	CC_start	CC_end
# Encephalitozoon hellem 50451
CP119062.1	25000	235000
CP119063.1	25000	200000
CP119064.1	20000	200000
CP119065.1	30000	215000
CP119066.1	30000	220000
CP119067.1	30000	225000
CP119068.1	30000	230000
CP119069.1	20000	210000
CP119070.1	20000	185000
CP119071.1	30000	250000
CP119072.1	20000	245000
# Encephalitozoon intestinalis 50506
CP075158.1	25000	160000
CP075159.1	30000	185000
CP075160.1	20000	190000
CP075161.1	30000	210000
CP075162.1	20000	210000
CP075163.1	20000	210000
CP075164.1	15000	220000
CP075165.1	30000	220000
CP075166.1	20000	250000
CP075167.1	30000	255000
CP075168.1	30000	250000
# Encephalitozoon hellem 50604
CP075147.1	35000	240000
CP075148.1	30000	190000
CP075149.1	25000	195000
CP075150.1	35000	220000
CP075151.1	30000	220000
CP075152.1	30000	225000
CP075153.1	30000	230000
CP075154.1	30000	220000
CP075155.1	30000	190000
CP075156.1	27500	250000
CP075157.1	25000	245000
# Encephalitozoon cuniculi 50602
CP091441.1	40000	180000
CP091440.1	40000	200000
CP091439.1	30000	210000
CP091436.1	30000	220000
CP091438.1	25000	210000
CP091437.1	20000	215000
CP091435.1	25000	225000
CP091434.1	40000	240000
CP091433.1	25000	265000
CP091432.1	30000	270000
CP091431.1	50000	270000
